Performance,RouterObject,5620_SAM_Virtual_Router,rtr.RouteStatsLogRecord,monitoredObjectSiteId,0
Accounting,NetworkQueueObject,5620_SAM_NQueue,nqueue.Entry,siteId,1
Accounting,NetworkQueueObject,5620_SAM_NQueue,nqueue.ForwardingClass,siteId,1
Accounting,NetworkQueueObject,5620_SAM_NQueue,nqueue.Policy,siteId,1
Accounting,NetworkQueueObject,5620_SAM_NQueue,service.CombinedNetworkEgressOctetsLogRecord,monitoredObjectSiteId,0
Accounting,NetworkQueueObject,5620_SAM_NQueue,service.CombinedNetworkIngressOctetsLogRecord,monitoredObjectSiteId,0
Accounting,NetworkQueueObject,5620_SAM_NQueue,service.NetworkEgressPacketsLogRecord,monitoredObjectSiteId,0
Accounting,NetworkQueueObject,5620_SAM_NQueue,service.NetworkIngressPacketsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,service.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,service.L3AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,ies.L3AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,mirror.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,vll.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,vpls.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,vprn.L3AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,ipipe.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,vprn.ServiceAccessPoint,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,ies.ServiceAccessPoint,nodeId,1
Accounting,ServiceObject,5620_SAM_ServiceAccessInterface,service.PppoeSapStatsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,ies.L3AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,mirror.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,vll.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,vpls.L2AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,vprn.L3AccessInterface,nodeId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.CompleteServiceEgressPacketOctetsLogRecord,monitoredObjectSiteId,0
